period,respondent,respondent-name,fueltype,type-name,value,value-units
2019-12-31T07,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,15519,megawatthours
2019-12-31T07,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,16497,megawatthours
2019-12-31T07,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13353,megawatthours
2019-12-31T07,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,462,megawatthours
2019-12-31T07,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,0,megawatthours
2019-12-31T07,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,977,megawatthours
2019-12-31T07,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,15652,megawatthours
2019-12-31T06,ISNE,ISO New England,COL,Coal,0,megawatthours
2019-12-31T06,ISNE,ISO New England,NG,Natural Gas,3507,megawatthours
2019-12-31T06,ISNE,ISO New England,NUC,Nuclear,3315,megawatthours
2019-12-31T06,ISNE,ISO New England,OIL,Petroleum,3,megawatthours
2019-12-31T06,ISNE,ISO New England,OTH,Other,707,megawatthours
2019-12-31T06,ISNE,ISO New England,SUN,Solar,0,megawatthours
2019-12-31T06,ISNE,ISO New England,WAT,Hydro,755,megawatthours
2019-12-31T06,ISNE,ISO New England,WND,Wind,574,megawatthours
2019-12-31T06,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,17132,megawatthours
2019-12-31T06,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,17126,megawatthours
2019-12-31T06,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13351,megawatthours
2019-12-31T06,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,458,megawatthours
2019-12-31T06,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,0,megawatthours
2019-12-31T06,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,984,megawatthours
2019-12-31T06,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,15715,megawatthours
2019-12-31T05,ISNE,ISO New England,COL,Coal,0,megawatthours
2019-12-31T05,ISNE,ISO New England,NG,Natural Gas,4013,megawatthours
2019-12-31T05,ISNE,ISO New England,NUC,Nuclear,3307,megawatthours
2019-12-31T05,ISNE,ISO New England,OIL,Petroleum,0,megawatthours
2019-12-31T05,ISNE,ISO New England,OTH,Other,709,megawatthours
2019-12-31T05,ISNE,ISO New England,SUN,Solar,0,megawatthours
2019-12-31T05,ISNE,ISO New England,WAT,Hydro,770,megawatthours
2019-12-31T05,ISNE,ISO New England,WND,Wind,541,megawatthours
2019-12-31T05,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,18093,megawatthours
2019-12-31T05,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,18203,megawatthours
2019-12-31T05,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13344,megawatthours
2019-12-31T05,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,454,megawatthours
2019-12-31T05,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,0,megawatthours
2019-12-31T05,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,1051,megawatthours
2019-12-31T05,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,16076,megawatthours
2019-12-31T04,ISNE,ISO New England,COL,Coal,2,megawatthours
2019-12-31T04,ISNE,ISO New England,NG,Natural Gas,4703,megawatthours
2019-12-31T04,ISNE,ISO New England,NUC,Nuclear,3299,megawatthours
2019-12-31T04,ISNE,ISO New England,OIL,Petroleum,0,megawatthours
2019-12-31T04,ISNE,ISO New England,OTH,Other,720,megawatthours
2019-12-31T04,ISNE,ISO New England,SUN,Solar,0,megawatthours
2019-12-31T04,ISNE,ISO New England,WAT,Hydro,773,megawatthours
2019-12-31T04,ISNE,ISO New England,WND,Wind,520,megawatthours
2019-12-31T04,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,18583,megawatthours
2019-12-31T04,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,19282,megawatthours
2019-12-31T04,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13336,megawatthours
2019-12-31T04,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,455,megawatthours
2019-12-31T04,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,0,megawatthours
2019-12-31T04,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,1103,megawatthours
2019-12-31T04,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,16257,megawatthours
2019-12-31T03,ISNE,ISO New England,COL,Coal,2,megawatthours
2019-12-31T03,ISNE,ISO New England,NG,Natural Gas,5677,megawatthours
2019-12-31T03,ISNE,ISO New England,NUC,Nuclear,3282,megawatthours
2019-12-31T03,ISNE,ISO New England,OIL,Petroleum,0,megawatthours
2019-12-31T03,ISNE,ISO New England,OTH,Other,717,megawatthours
2019-12-31T03,ISNE,ISO New England,SUN,Solar,0,megawatthours
2019-12-31T03,ISNE,ISO New England,WAT,Hydro,792,megawatthours
2019-12-31T03,ISNE,ISO New England,WND,Wind,492,megawatthours
2019-12-31T03,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,19766,megawatthours
2019-12-31T03,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,20068,megawatthours
2019-12-31T03,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13337,megawatthours
2019-12-31T03,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,458,megawatthours
2019-12-31T03,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,0,megawatthours
2019-12-31T03,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,1422,megawatthours
2019-12-31T03,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,16546,megawatthours
2019-12-31T02,ISNE,ISO New England,COL,Coal,1,megawatthours
2019-12-31T02,ISNE,ISO New England,NG,Natural Gas,6564,megawatthours
2019-12-31T02,ISNE,ISO New England,NUC,Nuclear,3296,megawatthours
2019-12-31T02,ISNE,ISO New England,OIL,Petroleum,0,megawatthours
2019-12-31T02,ISNE,ISO New England,OTH,Other,727,megawatthours
2019-12-31T02,ISNE,ISO New England,SUN,Solar,0,megawatthours
2019-12-31T02,ISNE,ISO New England,WAT,Hydro,875,megawatthours
