period,subba,subba-name,parent,parent-name,timezone,value,value-units
2019-12-08,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,234641,megawatthours
2019-12-08,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,233846,megawatthours
2019-12-07,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,66885,megawatthours
2019-12-07,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,66775,megawatthours
2019-12-07,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,66674,megawatthours
2019-12-07,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,66885,megawatthours
2019-12-07,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,67008,megawatthours
2019-12-07,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,253118,megawatthours
2019-12-07,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,253477,megawatthours
2019-12-07,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,253904,megawatthours
2019-12-07,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,253118,megawatthours
2019-12-07,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,252746,megawatthours
2019-12-06,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,70541,megawatthours
2019-12-06,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,70504,megawatthours
2019-12-06,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,70465,megawatthours
2019-12-06,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,70541,megawatthours
2019-12-06,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,70569,megawatthours
2019-12-06,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,263562,megawatthours
2019-12-06,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,263150,megawatthours
2019-12-06,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,262721,megawatthours
2019-12-06,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,263562,megawatthours
