period,respondent,respondent-name,fueltype,type-name,value,value-units,date,city,electricity_demand_mw
2019-12-31T09,PJM,"PJM Interconnection, LLC",COL,Coal,10378,megawatthours,2019-12-31,Chicago,10378
2019-12-31T09,PJM,"PJM Interconnection, LLC",NG,Natural Gas,26080,megawatthours,2019-12-31,Chicago,26080
2019-12-31T09,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28737,megawatthours,2019-12-31,Chicago,28737
2019-12-31T09,PJM,"PJM Interconnection, LLC",OIL,Petroleum,225,megawatthours,2019-12-31,Chicago,225
2019-12-31T09,PJM,"PJM Interconnection, LLC",OTH,Other,581,megawatthours,2019-12-31,Chicago,581
2019-12-31T09,PJM,"PJM Interconnection, LLC",SUN,Solar,0,megawatthours,2019-12-31,Chicago,0
2019-12-31T09,PJM,"PJM Interconnection, LLC",WAT,Hydro,740,megawatthours,2019-12-31,Chicago,740
2019-12-31T09,PJM,"PJM Interconnection, LLC",WND,Wind,2523,megawatthours,2019-12-31,Chicago,2523
2019-12-31T08,ISNE,ISO New England,COL,Coal,3,megawatthours,2019-12-31,Boston,3
2019-12-31T08,ISNE,ISO New England,NG,Natural Gas,2414,megawatthours,2019-12-31,Boston,2414
2019-12-31T08,ISNE,ISO New England,NUC,Nuclear,3325,megawatthours,2019-12-31,Boston,3325
2019-12-31T08,ISNE,ISO New England,OIL,Petroleum,109,megawatthours,2019-12-31,Boston,109
2019-12-31T08,ISNE,ISO New England,OTH,Other,713,megawatthours,2019-12-31,Boston,713
2019-12-31T08,ISNE,ISO New England,SUN,Solar,0,megawatthours,2019-12-31,Boston,0
2019-12-31T08,ISNE,ISO New England,WAT,Hydro,741,megawatthours,2019-12-31,Boston,741
2019-12-31T08,ISNE,ISO New England,WND,Wind,658,megawatthours,2019-12-31,Boston,658
2019-12-31T08,PJM,"PJM Interconnection, LLC",COL,Coal,10386,megawatthours,2019-12-31,Chicago,10386
2019-12-31T08,PJM,"PJM Interconnection, LLC",NG,Natural Gas,25927,megawatthours,2019-12-31,Chicago,25927
2019-12-31T08,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28787,megawatthours,2019-12-31,Chicago,28787
2019-12-31T08,PJM,"PJM Interconnection, LLC",OIL,Petroleum,222,megawatthours,2019-12-31,Chicago,222
