date,respondent,type-name,daily_mwh
2019-05-27,ISNE,Nuclear,85383
2019-05-27,ISNE,Other,15191
2019-05-27,ISNE,Petroleum,0
2019-05-27,ISNE,Solar,1096
2019-05-27,ISNE,Wind,8867
2019-05-27,PJM,Coal,471876
2019-05-27,PJM,Hydro,40951
2019-05-27,PJM,Natural Gas,680769
2019-05-27,PJM,Nuclear,781324
2019-05-27,PJM,Other,21440
2019-05-27,PJM,Petroleum,4975
2019-05-27,PJM,Solar,9247
2019-05-27,PJM,Wind,55238
2019-05-28,ISNE,Coal,24
2019-05-28,ISNE,Hydro,34213
2019-05-28,ISNE,Natural Gas,93630
2019-05-28,ISNE,Nuclear,85284
2019-05-28,ISNE,Other,15297
2019-05-28,ISNE,Petroleum,15
2019-05-28,ISNE,Solar,315
2019-05-28,ISNE,Wind,5010
2019-05-28,PJM,Coal,567858
2019-05-28,PJM,Hydro,62019
2019-05-28,PJM,Natural Gas,806278
2019-05-28,PJM,Nuclear,791849
2019-05-28,PJM,Other,31695
2019-05-28,PJM,Petroleum,4939
2019-05-28,PJM,Solar,7817
2019-05-28,PJM,Wind,79807
2019-05-29,ISNE,Coal,6
2019-05-29,ISNE,Hydro,29260
2019-05-29,ISNE,Natural Gas,100988
2019-05-29,ISNE,Nuclear,85393
2019-05-29,ISNE,Other,14582
2019-05-29,ISNE,Petroleum,10
2019-05-29,ISNE,Solar,515
2019-05-29,ISNE,Wind,1193
2019-05-29,PJM,Coal,591730
2019-05-29,PJM,Hydro,65347
2019-05-29,PJM,Natural Gas,884796
2019-05-29,PJM,Nuclear,789034
2019-05-29,PJM,Other,26873
2019-05-29,PJM,Petroleum,6275
2019-05-29,PJM,Solar,9338
2019-05-29,PJM,Wind,39694
2019-05-30,ISNE,Coal,0
2019-05-30,ISNE,Hydro,27322
2019-05-30,ISNE,Natural Gas,97354
2019-05-30,ISNE,Nuclear,85427
2019-05-30,ISNE,Other,15226
2019-05-30,ISNE,Petroleum,64
2019-05-30,ISNE,Solar,539
2019-05-30,ISNE,Wind,5661
2019-05-30,PJM,Coal,540042
2019-05-30,PJM,Hydro,59922
2019-05-30,PJM,Natural Gas,873829
2019-05-30,PJM,Nuclear,789453
2019-05-30,PJM,Other,27413
2019-05-30,PJM,Petroleum,4830
2019-05-30,PJM,Solar,8795
2019-05-30,PJM,Wind,52947
2019-05-31,ISNE,Coal,0
2019-05-31,ISNE,Hydro,31611
2019-05-31,ISNE,Natural Gas,94617
2019-05-31,ISNE,Nuclear,83602
2019-05-31,ISNE,Other,15047
2019-05-31,ISNE,Petroleum,12
2019-05-31,ISNE,Solar,959
2019-05-31,ISNE,Wind,6881
2019-05-31,PJM,Coal,469455
2019-05-31,PJM,Hydro,67716
2019-05-31,PJM,Natural Gas,943529
2019-05-31,PJM,Nuclear,786736
2019-05-31,PJM,Other,26414
2019-05-31,PJM,Petroleum,5523
2019-05-31,PJM,Solar,8284
2019-05-31,PJM,Wind,29120
2019-06-01,ISNE,Coal,0
2019-06-01,ISNE,Hydro,26311
2019-06-01,ISNE,Natural Gas,88079
2019-06-01,ISNE,Nuclear,80067
2019-06-01,ISNE,Other,14220
2019-06-01,ISNE,Petroleum,0
2019-06-01,ISNE,Solar,887
2019-06-01,ISNE,Wind,1795
2019-06-01,PJM,Coal,418246
2019-06-01,PJM,Hydro,62110
2019-06-01,PJM,Natural Gas,789287
2019-06-01,PJM,Nuclear,735526
2019-06-01,PJM,Other,25917
2019-06-01,PJM,Petroleum,4865
2019-06-01,PJM,Solar,8265
2019-06-01,PJM,Wind,67002
2019-06-02,ISNE,Coal,0
2019-06-02,ISNE,Hydro,27580
2019-06-02,ISNE,Natural Gas,86992
2019-06-02,ISNE,Nuclear,80066
2019-06-02,ISNE,Other,14786
2019-06-02,ISNE,Petroleum,0
2019-06-02,ISNE,Solar,753
2019-06-02,ISNE,Wind,5060
2019-06-02,PJM,Coal,409324
2019-06-02,PJM,Hydro,48188
2019-06-02,PJM,Natural Gas,736262
2019-06-02,PJM,Nuclear,761168
2019-06-02,PJM,Other,19232
2019-06-02,PJM,Petroleum,4922
2019-06-02,PJM,Solar,9409
2019-06-02,PJM,Wind,42727
2019-06-03,ISNE,Coal,0
2019-06-03,ISNE,Hydro,26268
2019-06-03,ISNE,Natural Gas,83180
2019-06-03,ISNE,Nuclear,80072
2019-06-03,ISNE,Other,14946
2019-06-03,ISNE,Petroleum,84
2019-06-03,ISNE,Solar,1058
2019-06-03,ISNE,Wind,11428
2019-06-03,PJM,Coal,419115
2019-06-03,PJM,Hydro,43090
2019-06-03,PJM,Natural Gas,745624
2019-06-03,PJM,Nuclear,786300
2019-06-03,PJM,Other,18372
2019-06-03,PJM,Petroleum,5128
2019-06-03,PJM,Solar,10491
2019-06-03,PJM,Wind,32324
2019-06-04,ISNE,Coal,564
2019-06-04,ISNE,Hydro,22270
2019-06-04,ISNE,Natural Gas,101099
2019-06-04,ISNE,Nuclear,80119
2019-06-04,ISNE,Other,14861
2019-06-04,ISNE,Petroleum,11
2019-06-04,ISNE,Solar,954
2019-06-04,ISNE,Wind,11531
2019-06-04,PJM,Coal,433441
2019-06-04,PJM,Hydro,39876
2019-06-04,PJM,Natural Gas,743639
2019-06-04,PJM,Nuclear,770015
2019-06-04,PJM,Other,31596
2019-06-04,PJM,Petroleum,5350
